S 271.3 2 21.7
S 332.2 3 24.0
S 335.3 0 29.2
S 345.9 2 82.1
S 450.0 3 28.0
S 478.4 0 54.6
S 526.5 1 56.7
S 593.7 2 14.6
S 595.2 3 21.0
S 634.4 1 64.9
S 682.3 3 76.6
S 799.0 1 25.9
S 857.8 3 34.5
S 957.1 1 79.3
S 996.3 2 28.8
S 1010.9 3 62.3
S 1088.8 0 39.0
S 1091.3 2 25.3
S 1135.7 3 59.8
S 1143.6 1 13.2
S 1179.6 2 17.9
S 1239.5 1 68.6
S 1244.0 0 74.6
S 1306.7 2 41.5
S 1408.6 3 10.6
S 1430.2 2 37.7
S 1456.2 1 22.7
S 1466.2 0 8.3
S 1549.9 2 47.7
S 1580.2 1 78.4
S 1591.2 0 22.3
S 1730.6 3 72.4
S 1760.4 1 38.1
S 1813.8 2 98.7
S 2007.0 3 69.8
S 2023.1 0 62.9
S 2093.2 1 25.0
S 2149.9 3 94.0
S 2181.2 2 45.4
S 2193.3 1 91.3
S 2259.1 0 67.1
S 2341.7 2 72.7
S 2495.0 0 30.3
S 2525.5 2 22.0
S 2557.2 3 76.0
S 2607.5 2 29.3
S 2622.2 0 15.7
S 2696.2 1 50.7
S 2802.5 1 8.4
S 2854.6 2 32.0
S 2854.6 0 42.2
S 2874.3 1 30.8
S 2898.1 3 41.9
S 2963.1 1 9.7
S 2989.7 2 71.3
S 3040.1 1 32.8
S 3066.5 3 7.1
S 3136.0 2 94.3
S 3180.7 1 5.9
S 3222.8 3 90.3
S 3329.5 1 48.2
S 3412.3 3 6.5
S 3583.1 3 18.9
S 3609.1 0 38.3
S 3682.1 3 33.4
S 3687.5 1 76.1
S 3704.4 0 15.1
S 3843.2 2 48.6
S 3887.7 0 44.3
S 3902.8 1 49.6
S 3947.0 3 38.3
S 4028.2 0 91.3
S 4031.9 2 42.3
S 4152.6 3 90.8
S 4409.0 2 72.6
S 4526.4 1 75.9
S 4648.4 2 97.0
S 4696.3 0 28.1
S 4705.5 1 36.5
S 4756.1 3 12.9
S 4856.2 2 70.5
S 4957.4 3 63.7
S 5030.9 1 20.6
S 5111.4 2 87.1
S 5200.6 0 91.5
S 5214.7 1 65.8
S 5222.5 3 97.2
S 5471.6 3 34.4
S 5542.4 2 94.1
S 5547.1 1 32.2
S 5556.5 0 86.0
S 5757.7 2 52.9
S 5762.6 3 77.5
S 5958.4 2 90.9
S 6026.3 3 98.7
S 6169.0 2 63.1
S 6239.9 3 17.4
S 6267.5 1 89.2
S 6430.8 0 86.7
S 6448.0 1 40.9
S 6473.9 3 59.8
S 6570.3 2 44.7
S 6671.8 3 11.4
S 6805.7 0 79.3
S 6828.3 1 98.0
S 6940.9 0 48.1
S 6987.8 3 88.4
S 7000.1 1 31.5
S 7105.9 2 33.4
S 7179.2 3 66.3
S 7207.6 0 69.2
S 7359.2 2 99.5
S 7425.2 3 42.6
S 7447.5 1 82.1
S 7456.5 0 77.8
S 7572.0 3 32.6
S 7633.8 1 32.5
S 7704.5 2 72.6
S 7822.4 3 13.3
S 7957.8 0 51.8
S 7992.2 3 65.1
S 8128.7 2 98.8
S 8133.9 0 87.9
S 8206.8 3 45.8
S 8297.9 2 91.8
S 8381.7 3 76.4
S 8501.1 1 31.3
S 8780.3 3 67.5
S 8816.4 2 24.0
S 8842.8 1 27.2
S 8981.6 2 87.8
S 9018.7 1 50.4
S 9032.5 3 61.8
S 9245.8 3 77.9
